Team,Player Name,Age,Nationality,Primary Role,IPL 2026 Salary (Cr),Overseas Status,Status,Bowling Type (Spinner/Pacer/NA),Bowling Hand,"Batting Hand (""Right"" or  ""Left"")",Current Batting,Potential Batting,Current Bowling,Potential Bowling,Reputation,Batting Aggression (1-99),Can they keep wickets?,Are they a part time wicketkeeper?,Core Batter,Finisher?,Captaincy,Opener?,Only Opener,hasBattedAt3,hasBattedAt4,hasBattedAt5,hasBattedAt6,hasBattedAt7,IPL Captain Desire,2026 Team (Salary),2025 Team (Salary),2024 Team (Salary),2023 Team (Salary),2022 Team (Salary),2021 Team (Salary),2020 Team (Salary),2019 Team (Salary),2018 Team (Salary),2017 Team (Salary),2016 Team (Salary),2015 Team (Salary),2014 Team (Salary),2013 Team (Salary),2012 Team (Salary),2011 Team (Salary),2010 Team (Salary),2009 Team (Salary),2008 Team (Salary),T20 Games,T20 Batting Innings,T20 batting average,T20 runs,T20 strike rate,T20 bowling innings,T20 bowling average,T20 wickets,T20 WK Catches,T20 WK Stumpings,IPL games,IPL runs,IPL average,IPL strike rate,IPL bowling innings,IPL bowling average,IPL wickets
Chennai Super Kings,Rahul Chahar,26.00,India,Bowler (Spinner),5.2,Indian,Capped,Spinner,Right Handed Bowler,RHB,0,0,83,85,8,40,No,No,No,No,65,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (5.20 Cr),SRH (3.20 Cr),PBKS (5.25 Cr),PBKS (5.25 Cr),PBKS (5.25 Cr),MI (1.90 Cr),MI (1.90 Cr),MI (1.90 Cr),MI (1.90 Cr),RPSG (10.00 L),--,--,--,--,--,--,--,--,--,86,25,7.94,134,103.89,85,28.82,82,--,--,80,129,8.06,104.04,79,29.28,75
Chennai Super Kings,Ramakrishna Ghosh,23.00,India,Bowler (Pace),0.3,Indian,Uncapped,Pacer,Right Handed Bowler,RHB,20,45,71,78,4,30,No,No,no,No,40,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (30.00 L),CSK (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,0,0,0,0,1,24,1,--,--,1,0,0,0,1,24,1
Chennai Super Kings,Ruturaj Gaikwad,29.00,India,Batter,18,Indian,Capped,NA,NA,RHB,83,87,0,0,9,75,No,No,Yes,No,86,Yes,no,TRUE,TRUE,FALSE,FALSE,FALSE,,CSK (18.00 Cr),CSK (18.00 Cr),CSK (6.00 Cr),CSK (6.00 Cr),CSK (6.00 Cr),CSK (20.00 L),CSK (20.00 L),CSK (20.00 L),--,--,--,--,--,--,--,--,--,--,--,108,104,38.59,3472,137.09,0,0,0,--,--,85,2839,38.36,135.65,--,--,--
Chennai Super Kings,Sanju Samson,31.00,India,Wicketkeeper-Batter,18,Indian,Capped,NA,NA,RHB,89,89,0,0,9,85,Yes,No,Yes,No,85,Yes,no,TRUE,TRUE,TRUE,TRUE,TRUE,,CSK (18.00 Cr),RR (18.00 Cr),RR (14.00 Cr),RR (14.00 Cr),RR (14.00 Cr),RR (8.00 Cr),RR (8.00 Cr),RR (8.00 Cr),RR (8.00 Cr),DD (4.20 Cr),DD (4.20 Cr),RR (5.50 Cr),RR (5.50 Cr),RR (10.00 L),KKR (8.00 L),--,--,--,--,255,243,30.52,6586,144.19,0,0,0,--,--,190,5181,31.59,141.14,--,--,--
Chennai Super Kings,Sarfaraz Khan,28.00,India,Batter,0.75,Indian,Capped,NA,NA,RHB,78,81,0,0,8,85,No,Yes,Yes,No,65,No,no,TRUE,TRUE,TRUE,TRUE,FALSE,,CSK (75.00 L),--,--,DC (20.00 L),DC (20.00 L),PBKS (25.00 L),KXIP (25.00 L),KXIP (25.00 L),RCB (1.75 Cr),RCB (50.00 L),RCB (50.00 L),RCB (50.00 L),--,--,--,--,--,--,--,58,44,22.61,746,137.39,1,0,0,--,--,58,746,22.61,137.39,1,--,0
Chennai Super Kings,Shivam Dube,32.00,India,All-Rounder,12,Indian,Capped,Pacer,Right Handed Bowler,LHB,85,85,72,73,8,85,No,No,Yes,Yes,75,No,no,FALSE,FALSE,FALSE,TRUE,TRUE,,CSK (12.00 Cr),CSK (12.00 Cr),CSK (4.00 Cr),CSK (4.00 Cr),CSK (4.00 Cr),RR (4.40 Cr),RCB (5.00 Cr),RCB (5.00 Cr),--,--,--,--,--,--,--,--,--,--,--,160,139,31.17,3212,148.49,63,29.35,40,--,--,92,2129,31.31,145.43,19,46.17,6
Chennai Super Kings,Shreyas Gopal,32.00,India,Bowler (Spinner),0.3,Indian,Uncapped,Spinner,Right Handed Bowler,RHB,0,0,76,76,4,40,No,No,No,No,68,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (30.00 L),CSK (30.00 L),MI (20.00 L),--,SRH (75.00 L),RR (20.00 L),RR (20.00 L),RR (20.00 L),RR (20.00 L),MI (10.00 L),MI (10.00 L),MI (10.00 L),MI (10.00 L),--,--,--,--,--,--,52,22,12.86,180,106.51,51,25.92,52,--,--,52,180,12.86,106.51,51,25.92,52
Chennai Super Kings,Urvil Patel,27.00,India,Wicketkeeper-Batter,0.3,Indian,Uncapped,NA,NA,RHB,79,83,0,0,6,82,Yes,No,Yes,No,40,No,no,TRUE,TRUE,TRUE,FALSE,FALSE,,CSK (30.00 L),--,--,GT (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,10,19.7,197,205.21,0,0,0,--,--,10,197,19.7,205.21,--,--,--
Chennai Super Kings,Zak Foulkes,23.00,New Zealand,All-Rounder,0.75,Overseas,Capped,Pacer,Right Handed Bowler,RHB,72,75,78,83,6,75,No,No,No,No,70,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,CSK (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,14,14.29,100,149.26,21,28.82,22,--,--,--,--,--,--,--,--,--
Delhi Capitals,Abishek Porel,23.00,India,Wicketkeeper-Batter,4,Indian,Uncapped,NA,NA,LHB,76,83,0,0,5,80,Yes,No,Yes,No,45,Yes,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,,DC (4.00 Cr),DC (4.00 Cr),DC (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,33,25.63,769,145.37,0,0,0,--,--,35,769,25.63,145.37,--,--,--
Delhi Capitals,Ajay Mandal,30.00,India,All-Rounder,0.3,Indian,Uncapped,Spinner,Left Handed Bowler,LHB,72,74,74,74,3,70,No,No,No,No,55,No,no,FALSE,TRUE,TRUE,TRUE,TRUE,,DC (30.00 L),DC (30.00 L),CSK (20.00 L),CSK (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46,30,17.3,450,136.6,44,23.56,44,--,--,0,0,0,0,0,0,0
Delhi Capitals,Ashutosh Sharma,27.00,India,Batter,3.8,Indian,Uncapped,Pacer,Right Handed Bowler,RHB,80,83,70,72,6,85,No,No,Yes,Yes,62,No,no,FALSE,FALSE,TRUE,TRUE,TRUE,,DC (3.80 Cr),DC (3.80 Cr),PBKS (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,26,29.68,564,168.87,0,0,0,--,--,32,564,29.68,168.87,--,--,--
Delhi Capitals,Auqib Nabi,29.00,India,Bowler (Pace),8.4,Indian,Uncapped,Pacer,Right Handed Bowler,RHB,0,0,78,81,4,25,No,No,No,No,45,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (8.40 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,2,14,14,350,5,0,0,--,--,5,14,14,350,5,--,0
Delhi Capitals,Axar Patel,32.00,India,All-Rounder,16.5,Indian,Capped,Spinner,Left Handed Bowler,LHB,83,83,84,84,9,75,No,No,Yes,No,70,No,no,FALSE,TRUE,TRUE,TRUE,TRUE,,DC (16.50 Cr),DC (16.50 Cr),DC (9.00 Cr),DC (9.00 Cr),DC (9.00 Cr),DC (5.00 Cr),DC (5.00 Cr),DC (5.00 Cr),KXIP (6.75 Cr),KXIP (75.00 L),KXIP (75.00 L),KXIP (75.00 L),KXIP (75.00 L),MI (10.00 L),--,--,--,--,--,274,196,20.29,2825,132.84,263,27.47,239,--,--,176,2089,21.54,133.74,172,31.7,139
Delhi Capitals,Ben Duckett,31.00,England,Wicketkeeper-Batter,2,Overseas,Capped,NA,NA,LHB,78,80,0,0,6,88,Yes,No,Yes,No,55,Yes,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (2.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,21,27.74,527,153.2,0,0,0,--,--,--,--,--,--,--,--,--
Delhi Capitals,David Miller,37.00,South Africa,Batter,2,Overseas,Capped,NA,NA,LHB,81,81,0,0,8,85,No,No,Yes,Yes,78,No,no,FALSE,FALSE,TRUE,TRUE,TRUE,,DC (2.00 Cr),LSG (7.50 Cr),GT (3.00 Cr),GT (3.00 Cr),GT (3.00 Cr),RR (75.00 L),RR (75.00 L),KXIP (3.00 Cr),KXIP (3.00 Cr),KXIP (12.50 Cr),KXIP (12.50 Cr),KXIP (12.50 Cr),--,KXIP (53.21 L),KXIP (48.61 L),KXIP (46.00 L),--,--,--,568,518,34.85,12096,140.43,0,0,0,--,--,152,3288,35.74,139.5,--,--,--
Delhi Capitals,Dushmantha Chameera,34.00,Sri Lanka,Bowler (Pace),0.75,Overseas,Capped,Pacer,Right Handed Bowler,RHB,0,0,76,76,7,20,No,No,No,No,60,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (75.00 L),DC (75.00 L),--,--,LSG (2.00 Cr),--,--,--,RR (50.00 L),--,--,--,--,--,--,--,--,--,--,100,50,6.89,170,88.67,99,27.06,110,--,--,20,53,13.25,117.78,19,47.77,13
Delhi Capitals,Karun Nair,34.00,India,Batter,0.5,Indian,Capped,NA,NA,RHB,77,77,0,0,7,75,No,No,Yes,No,75,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,DC (50.00 L),DC (50.00 L),--,--,RR (1.40 Cr),KKR (50.00 L),KXIP (5.60 Cr),KXIP (5.60 Cr),KXIP (5.60 Cr),DD (4.00 Cr),DD (4.00 Cr),RR (75.00 L),RR (75.00 L),RCB,RCB,--,--,--,--,86,78,23.45,1712,131.29,0,0,0,0,0,86,1712,23.45,131.29,--,--,--
Delhi Capitals,KL Rahul,34.00,India,Wicketkeeper-Batter,14,Indian,Capped,NA,NA,RHB,88,88,0,0,9,88,Yes,No,Yes,No,84,Yes,no,TRUE,TRUE,TRUE,TRUE,TRUE,,DC (14.00 Cr),DC (14.00 Cr),LSG (17.00 Cr),LSG (17.00 Cr),LSG (17.00 Cr),PBKS (11.00 Cr),KXIP (11.00 Cr),KXIP (11.00 Cr),KXIP (11.00 Cr),RCB (1.00 Cr),RCB (1.00 Cr),SRH (1.00 Cr),SRH (1.00 Cr),RCB (9.12 L),--,--,--,--,--,231,218,43.53,8080,139.14,0,0,0,0,0,159,5815,46.15,139.15,--,--,--
Delhi Capitals,Kyle Jamieson,31.00,New Zealand,Bowler (Pace),2,Overseas,Capped,Pacer,Right Handed Bowler,RHB,67,68,79,81,8,75,No,No,No,No,65,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (2.00 Cr),--,--,CSK (1.00 Cr),--,RCB (15.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,47,25,12.5,172,115.37,47,34.33,46,--,--,15,77,15.4,105.48,15,31.63,16
Delhi Capitals,Lungi Ngidi,30.00,South Africa,Bowler (Pace),2,Overseas,Capped,Pacer,Right Handed Bowler,RHB,0,0,84,84,7,35,No,No,No,No,70,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (2.00 Cr),RCB (1.00 Cr),DC (50.00 L),DC (50.00 L),DC (50.00 L),CSK (50.00 L),CSK (50.00 L),CSK (50.00 L),CSK (50.00 L),--,--,--,--,--,--,--,--,--,--,92,22,10.02,63,79.57,91,20.72,132,--,--,28,4,2,44.45,27,20.69,42
Delhi Capitals,Madhav Tiwari,22.00,India,Bowler (Pace),0.4,Indian,Uncapped,Pacer,Right Handed Bowler,RHB,70,81,68,75,3,25,No,No,No,No,35,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (40.00 L),DC (40.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,2,21,21,175,3,21.75,4,--,--,4,21,21,175,3,21.75,4
Delhi Capitals,Mitchell Starc,36.00,Australia,Bowler (Pace),11.75,Overseas,Capped,Pacer,Left Handed Bowler,LHB,65,65,85,85,9,35,No,No,No,No,75,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (11.75 Cr),DC (11.75 Cr),KKR (24.75 Cr),--,--,--,--,--,KKR (9.40 Cr),RCB (5.00 Cr),RCB (5.00 Cr),RCB (5.00 Cr),RCB (5.00 Cr),--,--,--,--,--,--,122,46,9.5,209,94.68,120,23.28,155,0,0,57,111,9.25,91.74,55,22.72,76
Delhi Capitals,Mukesh Kumar,32.00,India,Bowler (Pace),8,Indian,Capped,Pacer,Right Handed Bowler,RHB,0,0,80,80,7,25,No,No,No,No,72,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (8.00 Cr),DC (8.00 Cr),DC (5.50 Cr),DC (5.50 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,59,9,7.78,15,70.37,59,31.32,62,--,--,42,10,10,55.56,42,34.64,42
Delhi Capitals,Nitish Rana,32.00,India,Batter,4.2,Indian,Capped,Spinner,Right Handed Bowler,LHB,78,78,67,67,7,75,No,No,Yes,No,78,No,no,TRUE,TRUE,TRUE,FALSE,FALSE,,DC (4.20 Cr),RR (4.20 Cr),KKR (8.00 Cr),KKR (8.00 Cr),KKR (8.00 Cr),KKR (3.40 Cr),KKR (3.40 Cr),KKR (3.40 Cr),KKR (3.40 Cr),MI (10.00 L),MI (10.00 L),MI (10.00 L),--,--,--,--,--,--,--,129,123,27.16,3093,137.32,27,32.5,10,--,--,127,3078,27.48,137.72,27,32.5,10
Delhi Capitals,Pathum Nissanka,28.00,Sri Lanka,Batter,4,Overseas,Capped,NA,NA,RHB,82,84,0,0,8,80,No,No,Yes,No,45,Yes,yes,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (4.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,104,103,30.08,2977,131.42,0,0,0,--,--,10,278,27.8,158.86,--,--,--
Delhi Capitals,Prithvi Shaw,26.00,India,Batter,0.75,Indian,Capped,NA,NA,RHB,76,77,0,0,6,80,No,No,Yes,No,78,Yes,yes,TRUE,FALSE,FALSE,FALSE,FALSE,,DC (75.00 L),--,DC (7.50 Cr),DC (7.50 Cr),DC (7.50 Cr),DC (1.20 Cr),DC (1.20 Cr),DC (1.20 Cr),DD (1.20 Cr),--,--,--,--,--,--,--,--,--,--,80,80,23.65,1892,147.47,0,0,0,--,--,79,1892,23.95,147.47,--,--,--
Delhi Capitals,Rehan Ahmed,21.00,England,All-Rounder,0.75,Overseas,Capped,Spinner,Right Handed Bowler,RHB,72,83,75,84,7,65,No,No,Yes,No,72,No,no,TRUE,FALSE,FALSE,FALSE,TRUE,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,78,18.49,1128,127.17,94,28,89,--,--,0,0,0,0,0,0,0
Delhi Capitals,Rishabh Pant,28.00,India,Wicketkeeper-Batter,15,Indian,Capped,NA,NA,LHB,84,87,0,0,9,85,Yes,No,Yes,Yes,75,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,LSG (27.00 Cr),LSG (27.00 Cr),DC (16.00 Cr),DC (16.00 Cr),DC (16.00 Cr),DC (8.00 Cr),DC (8.00 Cr),DC (8.00 Cr),DD (8.00 Cr),DD (1.90 Cr),DD (1.90 Cr),--,--,--,--,--,--,--,--,215,202,30.23,5074,142.18,0,0,0,0,0,139,3865,33.61,146.8,--,--,--
Delhi Capitals,Sahil Parakh,19.00,India,Batter,0.3,Indian,Uncapped,NA,NA,RHB,72,83,0,0,4,85,No,No,Yes,No,35,Yes,no,TRUE,FALSE,FALSE,FALSE,FALSE,,DC (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,4,11.5,46,139.4,0,0,0,--,--,4,46,11.5,139.4,--,--,--
Delhi Capitals,Sameer Rizvi,22.00,India,Batter,0.95,Indian,Uncapped,Spinner,Right Handed Bowler,RHB,78,84,58,62,4,75,No,No,Yes,No,55,No,no,TRUE,TRUE,TRUE,TRUE,TRUE,,DC (95.00 L),DC (95.00 L),CSK (8.40 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24,18,30.29,424,144.71,0,0,0,--,--,24,424,30.29,144.71,--,--,--
Delhi Capitals,T. Natarajan,35.00,India,Bowler (Pace),10.75,Indian,Capped,Pacer,Left Handed Bowler,LHB,0,0,81,81,8,25,No,No,No,No,45,No,no,FALSE,FALSE,FALSE,FALSE,FALSE,,DC (10.75 Cr),DC (10.75 Cr),SRH (4.00 Cr),SRH (4.00 Cr),SRH (4.00 Cr),SRH (40.00 L),SRH (40.00 L),SRH (40.00 L),SRH (40.00 L),KXIP (3.00 Cr),--,--,--,--,--,--,--,--,--,77,5,0,4,57.15,76,31.59,79,--,--,73,4,0,57.15,72,32.97,72
Delhi Capitals,Tripurana Vijay,24.00,India,Bowler (Spinner),0.3,Indian,Uncapped,Spinner,Right Handed Bowler,RHB,0,0,70,78,3,25,No,No,No,No,40,No,no,FALSE,FALSE,FALSE,FALSE,TRUE,,DC (30.00 L),DC (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,0,0,0,0,1,0,0,--,--,1,0,0,0,1,--,0
Delhi Capitals,Tristan Stubbs,25.00,South Africa,Batter,10,Overseas,Capped,Spinner,Right Handed Bowler,RHB,83,87,61,61,8,85,No,Yes,Yes,No,75,No,no,TRUE,TRUE,TRUE,TRUE,FALSE,,DC (10.00 Cr),DC (10.00 Cr),DC (50.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,98,86,34.71,1947,142.19,7,17.25,4,--,--,46,980,39.2,151.24,5,17.25,4
Delhi Capitals,Vipraj Nigam,21.00,India,All-Rounder,0.5,Indian,Uncapped,Spinner,Right Handed Bowler,RHB,75,82,76,83,6,25,No,No,No,No,35,No,no,FALSE,FALSE,TRUE,TRUE,TRUE,,DC (50.00 L),DC (50.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19,10,19.63,157,176.41,18,36.08,13,--,--,19,157,19.63,176.41,18,36.08,13
