Team,Player Name,IPL 2025 Team and Salary,Nationality,Age,IPL 2026 Salary (Cr),Overseas Status,Status,Primary Role,Bowling Type (Spinner/Pacer/NA),Bowling Hand,"Batting Hand (""Right"" or  ""Left"")",Current Batting,Potential Batting,Current Bowling,Potential Bowling,Reputation,Can they keep wickets?,Are they a part time wicketkeeper?,Opener?,Finisher?,Captaincy,Batting Aggression (1-99),hasBattedAt3,hasBattedAt4,hasBattedAt5,hasBattedAt6,hasBattedAt7,2026 Team (Salary),2025 Team (Salary),2024 Team (Salary),2023 Team (Salary),2022 Team (Salary),2021 Team (Salary),2020 Team (Salary),2019 Team (Salary),2018 Team (Salary),2017 Team (Salary),2016 Team (Salary),2015 Team (Salary),2014 Team (Salary),2013 Team (Salary),2012 Team (Salary),2011 Team (Salary),2010 Team (Salary),2009 Team (Salary),2008 Team (Salary)
Kolkata Knight Riders,Umran Malik,KKR (0.75 Cr),India,26,0.75,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,76,83,8,No,No,No,No,40.00,20.00,FALSE,FALSE,FALSE,FALSE,FALSE,KKR (75.00 L),KKR (75.00 L),SRH (4.00 Cr),SRH (4.00 Cr),SRH (4.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Tim Seifert,RCB (2.00 Cr),New Zealand,31,1.50,Overseas,Capped,Wicketkeeper-Batter,NA,NA,RHB,81,81,0,0,7,Yes,No,Yes,No,60.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,KKR (1.50 Cr),--,--,--,DC (50.00 L),KKR (50.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Ramandeep Singh,KKR (4.00 Cr),India,29,4.00,Indian,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,78,82,71,75,7,No,No,No,Yes,52.00,82.00,FALSE,FALSE,TRUE,TRUE,TRUE,KKR (4.00 Cr),KKR (4.00 Cr),KKR (20.00 L),MI (20.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Vaibhav Arora,KKR (1.80 Cr),India,28,1.80,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,77,81,6,No,No,No,No,55.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,KKR (1.80 Cr),KKR (1.80 Cr),KKR (60.00 L),KKR (60.00 L),PBKS (2.00 Cr),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Ajinkya Rahane,KKR (1.50 Cr),India,38,1.50,Indian,Capped,Batter,NA,NA,RHB,75,75,0,0,8,No,No,No,No,76.00,65.00,FALSE,TRUE,TRUE,TRUE,FALSE,KKR (1.50 Cr),KKR (1.50 Cr),CSK (50.00 L),CSK (50.00 L),KKR (1.00 Cr),DC (4.00 Cr),DC (4.00 Cr),RR (4.00 Cr),RR (4.00 Cr),RPSG (9.50 Cr),RPSG (8.00 Cr),RR (7.50 Cr),RR (7.50 Cr),RR (30.00 L),RR (30.00 L),RR (30.00 L),--,MI,--
Kolkata Knight Riders,Angkrish Raghuvanshi,KKR (3.00 Cr),India,21,3.00,Indian,Uncapped,Batter,NA,NA,RHB,80,89,0,0,4,Yes,Yes,Yes,No,40.00,75.00,TRUE,FALSE,FALSE,FALSE,FALSE,KKR (3.00 Cr),KKR (3.00 Cr),KKR (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Manish Pandey,KKR (0.75 Cr),India,36,0.75,Indian,Capped,Batter,NA,NA,RHB,75,75,0,0,7,Yes,Yes,No,No,75.00,65.00,FALSE,TRUE,TRUE,TRUE,FALSE,KKR (75.00 L),KKR (75.00 L),KKR (50.00 L),DC (2.40 Cr),LSG (4.60 Cr),SRH (11.00 Cr),SRH (11.00 Cr),SRH (11.00 Cr),SRH (11.00 Cr),KKR (1.70 Cr),KKR (17.00 L),KKR (1.70 Cr),KKR (1.70 Cr),PWI (20.00 L),PWI (20.00 L),PWI (20.00 L),RCB (13.72 L),RCB (ⓘ),MI (ⓘ)
Kolkata Knight Riders,Blessing Muzarabani,RCB (0.75 Cr),Zimbabwe,29,0.75,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,77,78,4,No,No,No,No,40.00,15.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Anukul Roy,KKR (0.40 Cr),India,27,0.40,Indian,Uncapped,All-Rounder,Spinner,Left Handed Bowler,LHB,77,79,79,83,6,No,No,No,No,48.00,55.00,FALSE,TRUE,TRUE,TRUE,TRUE,KKR (40.00 L),KKR (40.00 L),KKR (20.00 L),KKR (20.00 L),KKR (20.00 L),MI (20.00 L),MI (20.00 L),MI (20.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Prashant Solanki,Unsold,India,26,0.30,Indian,Uncapped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,72,76,4,No,No,No,No,40.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,KKR (30.00 L),--,CSK (1.20 Cr),CSK (1.20 Cr),CSK (1.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Saurabh Dubey,Unsold,India,28,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Left Handed Bowler,RHB,0,0,73,79,3,No,No,No,No,45.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Tejasvi Singh Dahiya,Unsold,India,24,3.00,Indian,Uncapped,Wicketkeeper-Batter,NA,NA,RHB,73,81,0,0,4,Yes,No,No,No,42.00,65.00,TRUE,TRUE,TRUE,TRUE,FALSE,KKR (3.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Sarthak Ranjan,Unsold,India,29,0.30,Indian,Uncapped,Batter,NA,NA,RHB,67,78,0,0,4,No,No,Yes,No,48.00,65.00,TRUE,FALSE,FALSE,FALSE,FALSE,KKR (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kolkata Knight Riders,Daksh Kamra,Unsold,India,23,0.30,Indian,Uncapped,All-Rounder,Spinner,Right Handed Bowler,RHB,65,72,70,80,3,No,No,No,No,35.00,40.00,FALSE,FALSE,FALSE,TRUE,TRUE,KKR (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Jasprit Bumrah,MI (18.00 Cr),India,32,18.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,94,94,10,No,No,No,No,82.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,MI (18.00 Cr),MI (18.00 Cr),MI (12.00 Cr),MI (12.00 Cr),MI (12.00 Cr),MI (7.00 Cr),MI (7.00 Cr),MI (7.00 Cr),MI (7.00 Cr),MI (1.20 Cr),MI (1.20 Cr),MI (1.20 Cr),MI (1.20 Cr),MI (1.20 Cr),--,--,--,--,--
Mumbai Indians,Suryakumar Yadav,MI (16.35 Cr),India,35,16.35,Indian,Capped,Batter,Spinner,Right Handed Bowler,RHB,85,85,51,51,9,No,No,No,No,88.00,92.00,TRUE,TRUE,FALSE,FALSE,FALSE,MI (16.35 Cr),MI (16.35 Cr),MI (8.00 Cr),MI (8.00 Cr),MI (8.00 Cr),MI (3.20 Cr),MI (3.20 Cr),MI (3.20 Cr),MI (3.20 Cr),KKR (70.00 L),KKR (70.00 L),KKR (70.00 L),KKR (70.00 L),MI (10.00 L),MI (10.00 L),MI (10.00 L),--,--,--
Mumbai Indians,Rohit Sharma,MI (16.30 Cr),India,39,16.00,Indian,Capped,Batter,Spinner,Right Handed Bowler,RHB,85,85,62,62,10,No,No,Yes,No,95.00,88.00,TRUE,FALSE,FALSE,FALSE,FALSE,MI (16.30 Cr),MI (16.30 Cr),MI (16.00 Cr),MI (16.00 Cr),MI (16.00 Cr),MI (15.00 Cr),MI (15.00 Cr),MI (15.00 Cr),MI (15.00 Cr),MI (12.50 Cr),MI (12.50 Cr),MI (12.50 Cr),MI (12.50 Cr),MI (10.64 Cr),MI (9.72 Cr),MI (9.04 Cr),DCG (3.43 Cr),DCG (3.65 Cr),DCG (3.00 Cr)
Mumbai Indians,Hardik Pandya,MI (16.35 Cr),India,32,16.35,Indian,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,86,86,81,81,9,No,No,No,Yes,84.00,88.00,FALSE,TRUE,TRUE,TRUE,TRUE,MI (16.35 Cr),MI (16.35 Cr),MI (15.00 Cr),GT (15.00 Cr),GT (15.00 Cr),MI (11.00 Cr),MI (11.00 Cr),MI (11.00 Cr),MI (11.00 Cr),MI (10.00 L),MI (10.00 L),MI (10.00 L),--,--,--,--,--,--,--
Mumbai Indians,Trent Boult,MI (12.50 Cr),New Zealand,36,12.50,Overseas,Capped,Bowler (Pace),Pacer,Left Handed Bowler,LHB,0,0,81,81,9,No,No,No,No,70.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,MI (12.50 Cr),MI (12.50 Cr),RR (8.00 Cr),RR (8.00 Cr),RR (8.00 Cr),MI (2.20 Cr),MI (2.20 Cr),DC (2.20 Cr),DD (2.20 Cr),KKR (5.00 Cr),SRH (3.80 Cr),SRH (3.80 Cr),--,--,--,--,--,--,--
Mumbai Indians,Tilak Varma,MI (8.00 Cr),India,23,8.00,Indian,Capped,Batter,Spinner,Right Handed Bowler,LHB,86,91,53,56,8,No,No,No,No,72.00,72.00,TRUE,TRUE,TRUE,FALSE,FALSE,MI (8.00 Cr),MI (8.00 Cr),MI (1.70 Cr),MI (1.70 Cr),MI (1.70 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Will Jacks,MI (5.25 Cr),England,27,5.25,Overseas,Capped,All-Rounder,Spinner,Right Handed Bowler,RHB,84,89,76,80,8,No,No,No,No,72.00,88.00,FALSE,TRUE,TRUE,TRUE,TRUE,MI (5.25 Cr),MI (5.25 Cr),RCB (3.20 Cr),RCB (3.20 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Ryan Rickelton,MI (1.00 Cr),South Africa,29,1.00,Overseas,Capped,Wicketkeeper-Batter,NA,NA,LHB,83,86,0,0,7,Yes,No,Yes,No,75.00,88.00,TRUE,FALSE,FALSE,FALSE,FALSE,MI (1.00 Cr),MI (1.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Allah Ghazanfar,MI (4.80 Cr),Afghanistan,20,4.80,Overseas,Capped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,81,90,7,No,No,No,No,40.00,65.00,FALSE,FALSE,FALSE,FALSE,FALSE,MI (4.80 Cr),MI (4.80 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Keshav Maharaj,Unsold,South Africa,36,0.75,Overseas,Capped,Bowler (Spinner),Spinner,Left Handed Bowler,RHB,0,0,80,80,8,No,No,No,No,74.00,55.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Sherfane Rutherford,GT (2.60 Cr),West Indies,27,2.60,Overseas,Capped,Batter,NA,Right Handed Bowler,LHB,81,81,0,0,7,No,No,No,Yes,55.00,88.00,FALSE,FALSE,TRUE,TRUE,TRUE,MI (2.60 Cr),GT (2.60 Cr),KKR (1.50 Cr),--,RCB (1.00 Cr),--,MI (2.00 Cr),DC (2.00 Cr),--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Deepak Chahar,MI (9.25 Cr),India,33,9.25,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,81,81,7,No,No,No,No,70.00,45.00,FALSE,FALSE,FALSE,FALSE,FALSE,MI (9.25 Cr),MI (9.25 Cr),CSK (14.00 Cr),CSK (14.00 Cr),CSK (14.00 Cr),CSK (80.00 L),CSK (80.00 L),CSK (80.00 L),CSK (80.00 L),RPSG (10.00 L),RPSG (10.00 L),--,--,--,RR,RR,--,--,--
Mumbai Indians,Naman Dhir,MI (5.25 Cr),India,26,5.25,Indian,Uncapped,All-Rounder,Spinner,Right Handed Bowler,RHB,79,84,68,74,6,No,No,No,No,60.00,75.00,FALSE,TRUE,TRUE,TRUE,TRUE,MI (5.25 Cr),MI (5.25 Cr),MI (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Shardul Thakur,LSG (2.00 Cr),India,34,2.00,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,74,72,76,77,7,No,No,No,No,78.00,75.00,FALSE,TRUE,TRUE,TRUE,FALSE,MI (2.00 Cr),--,CSK (4.00 Cr),KKR (10.75 Cr),DC (10.75 Cr),CSK (2.60 Cr),CSK (2.60 Cr),CSK (2.60 Cr),CSK (2.60 Cr),RPSG (ⓘ),KXIP (20.00 L),KXIP (20.00 L),KXIP (20.00 L),--,--,--,--,--,--
,Mahipal Lomror,GT (1.70 Cr),India,26,1.70,Indian,Uncapped,Batter,Spinner,Left Handed Bowler,LHB,76,81,55,55,6,No,No,No,No,55.00,78.00,FALSE,TRUE,TRUE,TRUE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Mayank Markande,KKR (0.30 Cr),India,28,0.30,Indian,Capped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,76,79,6,No,No,No,No,65.00,40.00,FALSE,FALSE,FALSE,FALSE,FALSE,MI (30.00 L),KKR (30.00 L),SRH (50.00 L),SRH (50.00 L),MI (65.00 L),RR (20.00 L),RR (20.00 L),MI (20.00 L),MI (20.00 L),--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Corbin Bosch,MI (0.30 Cr),South Africa,31,0.30,Overseas,Capped,All-Rounder,Pacer,Right Handed Bowler,RHB,71,71,81,82,7,No,No,No,No,55.00,65.00,FALSE,TRUE,TRUE,TRUE,TRUE,MI (75.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Robin Minz,MI (0.65 Cr),India,23,0.65,Indian,Uncapped,Wicketkeeper-Batter,NA,Left Handed Bowler,LHB,73,82,0,0,4,Yes,No,No,Yes,38.00,82.00,FALSE,FALSE,TRUE,TRUE,TRUE,MI (65.00 L),MI (65.00 L),GT (3.60 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Danish Malewar,Unsold,India,22,0.30,Indian,Uncapped,Batter,NA,NA,RHB,70,83,0,0,2,No,No,No,No,35.00,65.00,FALSE,TRUE,TRUE,TRUE,FALSE,MI (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Mayank Rawat,Unsold,India,26,0.30,Indian,Uncapped,All-Rounder,Spinner,Right Handed Bowler,RHB,68,77,66,75,3,No,No,No,No,40.00,85.00,FALSE,FALSE,FALSE,TRUE,TRUE,MI (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Ashwani Kumar,MI (0.30 Cr),India,24,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,68,77,4,No,No,No,No,35.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,MI (30.00 L),MI (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Raghu Sharma,MI (0.30 Cr),India,33,0.30,Indian,Uncapped,Bowler (Spinner),Spinner,Right Handed Bowler,RHB,0,0,73,73,4,No,No,No,No,44.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,MI (30.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Mohammad Izhar,Unsold,India,22,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Something went wrong. Try again.,RHB,0,0,66,78,3,No,No,No,No,38.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Krish Bhagat,MI (0.30 Cr),India,21,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,65,76,3,No,No,No,No,38.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Ruchit Ahir,MI (0.30 Cr),India,25,0.30,Indian,Uncapped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,70,78,3,No,No,No,No,35.00,25.00,FALSE,FALSE,FALSE,FALSE,FALSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Quinton De Kock,KKR (3.60 Cr),South Africa,33,1.00,Overseas,Capped,Wicketkeeper-Batter,NA,NA,LHB,79,79,0,0,8,Yes,No,Yes,No,82.00,85.00,TRUE,FALSE,FALSE,FALSE,FALSE,MI (1.00 Cr),KKR (3.60 Cr),LSG (6.75 Cr),LSG (6.75 Cr),LSG (6.75 Cr),MI (2.80 Cr),MI (2.80 Cr),MI (2.80 Cr),RCB (2.80 Cr),DD (3.50 Cr),DD (3.50 Cr),DD (3.50 Cr),DD (3.50 Cr),SRH (10.64 L),--,--,--,--,--
Mumbai Indians,Mitchell Santner,MI (2.00 Cr),New Zealand,34,2.00,Overseas,Capped,All-Rounder,Spinner,Left Handed Bowler,LHB,77,77,81,81,8,No,No,No,No,86.00,65.00,FALSE,TRUE,TRUE,TRUE,TRUE,MI (2.00 Cr),MI (2.00 Cr),CSK (1.90 Cr),CSK (1.90 Cr),CSK (1.90 Cr),CSK (50.00 L),CSK (50.00 L),CSK (50.00 L),CSK (50.00 L),--,--,--,--,--,--,--,--,--,--
Mumbai Indians,Raj Angad Bawa,MI (0.30 Cr),India,23,0.30,Indian,Uncapped,All-Rounder,Pacer,Right Handed Bowler,LHB,66,75,70,80,4,No,No,No,No,45.00,75.00,FALSE,FALSE,FALSE,TRUE,TRUE,MI (30.00 L),MI (30.00 L),--,PBKS (2.00 Cr),PBKS (2.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Virat Kohli,RCB (21.00 Cr),India,37,21.00,Indian,Capped,Batter,NA,NA,RHB,89,89,0,0,10,No,No,Yes,No,94.00,90.00,TRUE,FALSE,FALSE,FALSE,FALSE,RCB (21.00 Cr),RCB (21.00 Cr),RCB (15.00 Cr),RCB (15.00 Cr),RCB (15.00 Cr),RCB (17.00 Cr),RCB (17.00 Cr),RCB (17.00 Cr),RCB (17.00 Cr),RCB (12.50 Cr),RCB (12.50 Cr),RCB (12.50 Cr),RCB (12.50 Cr),RCB (9.57 Cr),RCB (8.74 Cr),RCB (8.14 Cr),RCB (22.88 L),RCB (24.34 L),RCB (ⓘ)
Royal Challengers Bengaluru,Josh Hazlewood,RCB (12.50 Cr),Australia,35,12.50,Overseas,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,86,86,8,No,No,No,No,75.00,35.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (12.50 Cr),RCB (12.50 Cr),--,RCB (7.75 Cr),RCB (7.75 Cr),CSK (2.00 Cr),CSK (2.00 Cr),--,--,--,--,MI (ⓘ),MI (50.00 L),--,--,--,--,--,--
Royal Challengers Bengaluru,Phil Salt,RCB (11.50 Cr),England,29,11.50,Overseas,Capped,Wicketkeeper-Batter,NA,Right Handed Bowler,RHB,87,87,0,0,8,Yes,No,Yes,No,75.00,94.00,TRUE,FALSE,FALSE,FALSE,FALSE,RCB (11.50 Cr),RCB (11.50 Cr),--,DC (2.00 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Rajat Patidar,RCB (11.00 Cr),India,33,11.00,Indian,Capped,Batter,NA,Right Handed Bowler,RHB,89,89,0,0,8,No,No,No,No,92.00,88.00,TRUE,TRUE,TRUE,FALSE,FALSE,RCB (11.00 Cr),RCB (11.00 Cr),RCB (20.00 L),RCB (20.00 L),--,RCB (20.00 L),--,--,--,--,--,--,--,--,--,--,--,--,--
Royal Challengers Bengaluru,Bhuvneshwar Kumar,RCB (10.75 Cr),India,36,10.75,Indian,Capped,Bowler (Pace),Pacer,Right Handed Bowler,RHB,0,0,86,86,8,No,No,No,No,75.00,30.00,FALSE,FALSE,FALSE,FALSE,FALSE,RCB (10.75 Cr),RCB (10.75 Cr),SRH (4.20 Cr),SRH (4.20 Cr),SRH (4.20 Cr),SRH (8.50 Cr),SRH (8.50 Cr),SRH (8.50 Cr),SRH (8.50 Cr),SRH (4.25 Cr),SRH (4.25 Cr),SRH (4.25 Cr),SRH (4.25 Cr),PWI (20.00 L),PWI (20.00 L),PWI (20.00 L),RCB (6.00 L),--,--
Royal Challengers Bengaluru,Tim David,RCB (3.00 Cr),Australia,30,3.00,Overseas,Capped,Batter,Spinner,Right Handed Bowler,RHB,84,84,56,58,8,No,No,No,Yes,62.00,85.00,FALSE,FALSE,FALSE,TRUE,TRUE,RCB (3.00 Cr),RCB (3.00 Cr),MI (8.25 Cr),MI (8.25 Cr),MI (8.25 Cr),--,--,--,--,--,--,--,--,--,--,--,--,--,--
